6ifUES3keWjwXgae8pXI3o,"Me Rehúso","Danny Ocean",https://i.scdn.co/image/ab67616d0000b273d8243a13e6f41310a5fa7b96,"2024-12-25 07:21:27.498932"
2zkVH2daHyjS51g7PRJFDn,"¿Qué Ha Pasao'?","Abraham Mateo",https://i.scdn.co/image/ab67616d0000b2731a61786e39540bd02664b8e1,"2024-12-25 07:21:27.498932"
6Za3190Sbw39BBC77WSS1C,Criminal,"NATTI NATASHA",https://i.scdn.co/image/ab67616d0000b2735f3f4af0d3e662247a7d8cff,"2024-12-25 07:21:27.498932"
0lPXFrKyl8HkdQ2E6NmNja,"Ya Me Enteré",Reik,https://i.scdn.co/image/ab67616d0000b273511cc998154eebad1694f9c2,"2024-12-25 07:21:27.498932"
2vvdTrdryjsl8DmPIMDWZU,"EL BAÑO","Enrique Iglesias",https://i.scdn.co/image/ab67616d0000b273e1a333c2db1257185ae311e2,"2024-12-25 07:21:27.498932"
278kSqsZIiYp8p3QjYAqa8,"NI BIEN NI MAL","Bad Bunny",https://i.scdn.co/image/ab67616d0000b273519266cd05491a5b5bc22d1e,"2024-12-25 07:21:27.498932"
5VQpJ2AY2iMzrRZKgcvNjh,"Tenemos Que Hablar","Bad Bunny",https://i.scdn.co/image/ab67616d0000b273519266cd05491a5b5bc22d1e,"2024-12-25 07:21:27.498932"
35wvL50xvKpCHEJPxLOLPI,"Si Estuviésemos Juntos","Bad Bunny",https://i.scdn.co/image/ab67616d0000b273519266cd05491a5b5bc22d1e,"2024-12-25 07:21:27.498932"
69ZaPBHhRMRDjRpW1ivnOU,"Como Antes","Bad Bunny",https://i.scdn.co/image/ab67616d0000b273519266cd05491a5b5bc22d1e,"2024-12-25 07:21:27.498932"
6pZHZndlo57dPCYnvlYFOE,RLNDT,"Bad Bunny",https://i.scdn.co/image/ab67616d0000b273519266cd05491a5b5bc22d1e,"2024-12-25 07:21:27.498932"
0fea68AdmYNygeTGI4RC18,"LA CANCIÓN","J Balvin",https://i.scdn.co/image/ab67616d0000b2734891d9b25d8919448388f3bb,"2024-12-25 07:21:27.498932"
1Bqg4yFeVDJxchh6MjkGKy,Chambea,"Bad Bunny",https://i.scdn.co/image/ab67616d0000b273147689b8550e68c0e6f78411,"2024-12-25 07:21:27.498932"
68QcquxCS39cQGTsRrJWIR,Amorfoda,"Bad Bunny",https://i.scdn.co/image/ab67616d0000b273f68d3148a46b457e05f2acde,"2024-12-25 07:21:27.498932"
4DbhxwlkhTbCTqlZptxmI6,Swing,"Danny Ocean",https://i.scdn.co/image/ab67616d0000b273d8243a13e6f41310a5fa7b96,"2024-12-25 07:21:27.498932"
30zRVzH3FUvbtqYwLvd5fc,Vuelve,"Danny Ocean",https://i.scdn.co/image/ab67616d0000b273d8243a13e6f41310a5fa7b96,"2024-12-25 07:21:27.498932"
30LBoQSk8gjcN0hWCWtdbF,Dembow,"Danny Ocean",https://i.scdn.co/image/ab67616d0000b273d8243a13e6f41310a5fa7b96,"2024-12-25 07:21:27.498932"
6z8sQFj47s9ZG0Ls1k9Gct,"Dime tú","Danny Ocean",https://i.scdn.co/image/ab67616d0000b273745fcdc42b7eaba27ae28f2d,"2024-12-25 07:21:27.498932"
7COfe3P7KgfwDwIRB8LIDw,"Mi Gente","J Balvin",https://i.scdn.co/image/ab67616d0000b273dda2b86297d3bfb519f8b785,"2024-12-25 07:21:27.498932"
